,Ead_NNP,Ead_reg,ontop_element,site_info
2258,-1.040259838,-0.92540154,Pt,facet
2259,-1.69633913,-1.691719679,Pt,corner
2260,-1.16881752,-0.968148175,Pt,facet
2261,-1.135931015,-1.015564891,Pt,facet
2262,-1.574043274,-1.329165463,Pt,edge
2263,-1.584807396,-1.45946359,Pt,corner
2264,-1.581421852,-1.51356117,Pt,corner
2265,-1.683067322,-1.592316037,Rh,corner
2266,-1.643743515,-1.536049258,Rh,edge
2267,-1.647613525,-1.503218385,Rh,edge
2268,-1.533054829,-1.432498781,Rh,facet
2269,-1.539838314,-1.465869795,Rh,edge
2270,-1.469265938,-1.401905636,Rh,facet
2271,-1.475181103,-1.4039493,Rh,facet
2272,-1.26102066,-1.35650644,Rh,facet
2273,-1.573863506,-1.511586474,Rh,corner
2274,-1.633560181,-1.540735598,Rh,edge
2275,-1.491334915,-1.433408338,Rh,facet
2276,-1.557305336,-1.497317831,Rh,edge
2277,-1.291297913,-1.398534221,Rh,facet
2278,-1.597011089,-1.52605654,Rh,edge
2279,-1.641560555,-1.589815492,Rh,corner
2280,-1.631659508,-1.527435803,Rh,edge
2281,-1.726696968,-1.568285114,Rh,edge
2282,-1.754688263,-1.65191281,Rh,corner
2283,-1.60647583,-1.53536278,Rh,edge
2284,-2.063525677,-1.757386476,Rh,edge
2285,-1.408857346,-1.416065578,Rh,facet
2286,-1.65641737,-1.602264601,Rh,corner
2287,-1.493494034,-1.411033161,Rh,facet
2288,-1.530067921,-1.470180202,Rh,edge
2289,-1.468815327,-1.413933818,Rh,facet
2290,-1.761144638,-1.57548125,Rh,edge
2291,-1.761943817,-1.798190646,Ru,edge
2292,-1.901791096,-1.752885512,Ru,facet
2293,-1.753574371,-1.672547505,Ru,facet
2294,-1.853077412,-1.745731475,Ru,facet
2295,-1.967535973,-2.006504323,Ru,corner
2296,-2.038053036,-1.990928917,Ru,edge
2297,-2.157314777,-1.849410485,Ru,facet
2298,-2.025627136,-1.814891422,Ru,facet
2299,-1.719799042,-1.682883133,Ru,facet
2300,-1.81419611,-1.805459136,Ru,edge
2301,-1.722288132,-1.665738791,Ru,facet
2302,-1.8694067,-1.855303085,Ru,edge
2303,-1.856651783,-1.827381023,Ru,edge
2304,-1.766222,-1.66129036,Ru,facet
2305,-2.048936844,-2.017298008,Ru,edge
2306,-2.051772118,-1.816799787,Ru,facet
2307,-1.944051266,-2.020291955,Ru,corner
2308,-1.889014244,-1.98778736,Ru,corner
2309,-2.060612679,-2.008204905,Ru,edge
2310,-1.709847927,-1.75709767,Ru,facet
2311,-1.933320999,-1.91612517,Ru,edge
2312,-2.076781273,-1.864277069,Ru,facet
2313,-2.225722313,-2.204939199,Ru,corner
2314,-2.056572437,-1.991354063,Ru,edge
2315,-1.842896461,-1.712831944,Ru,facet
2316,-2.076430321,-1.960340055,Ru,edge
2317,-1.941918373,-1.847496225,Ru,facet
2318,-2.003462315,-2.139474549,Ir,corner
2319,-1.666348457,-1.721706193,Ir,facet
2320,-1.982374668,-2.039116019,Ir,edge
2321,-1.735487938,-1.760507132,Ir,facet
2322,-1.682262897,-1.717562204,Ir,facet
2323,-1.549234867,-1.692647688,Ir,facet
2324,-1.657196045,-1.755869698,Ir,facet
2325,-1.637985229,-1.704310966,Ir,facet
2326,-1.968213081,-2.069675735,Ir,edge
2327,-1.769673824,-1.84712392,Ir,facet
2328,-1.975585937,-1.908569767,Ir,facet
2329,-1.943130493,-1.959807084,Ir,edge
2330,-2.097744942,-2.276431457,Ir,corner
2331,-2.112129688,-2.251599574,Ir,corner
2332,-1.670544147,-1.769298553,Ir,facet
2333,-2.030352116,-1.973595289,Ir,facet
2334,-2.167689323,-2.340399809,Ir,corner
2335,-1.919243336,-1.954298919,Ir,facet
2336,-1.898163319,-2.036930514,Ir,edge
2337,-1.191700459,-1.351361065,Pd,edge
2338,-1.331027985,-1.431723353,Pd,edge
2339,-1.27094841,-1.431105585,Pd,edge
2340,-1.508065701,-1.590161561,Pd,corner
2341,-0.831016541,-1.161902524,Pd,facet
2342,-1.126245022,-1.310877963,Pd,edge
2343,-0.820344448,-1.167754004,Pd,facet
2344,-1.268862247,-1.413530694,Pd,edge
2345,-1.088484287,-1.24741178,Pd,facet
2346,-1.297992229,-1.367782217,Pd,edge
2347,-1.353752136,-1.459942456,Pd,corner
2348,-1.387172699,-1.503638084,Pd,corner
2349,-1.143523693,-1.333242948,Pd,edge
2350,-0.878015518,-1.185134626,Pd,facet
2351,-0.960196495,-1.218924526,Pd,facet
2352,-0.939614296,-1.176428813,Pd,facet
2353,-1.292360783,-1.419378217,Pd,corner
2354,-1.387446404,-1.478941215,Pd,edge
2355,-1.215070724,-1.302338714,Pd,facet
2356,-1.30353117,-1.44214922,Pd,edge
2357,-0.919656754,-1.220792343,Pd,facet
2358,-1.070930481,-1.263038705,Pd,facet
2359,-0.906057358,-1.198460671,Pd,facet
2360,-0.902965069,-1.197633462,Pd,facet
2361,-1.556179523,-1.660932118,Pd,corner
2362,-1.141207695,-1.34066375,Pd,edge
2363,-1.196522236,-1.363148132,Pd,edge
2364,-1.467055798,-1.32230239,Pt,edge
2365,-1.052530289,-0.971330386,Pt,facet
2366,-1.814136028,-1.78321295,Pt,corner
2367,-1.540017128,-1.434617765,Pt,edge
2368,-1.23760128,-1.113035522,Pt,facet
2369,-1.189078808,-1.078789696,Pt,facet
2370,-1.524118423,-1.252322868,Pt,facet
2371,-1.808598042,-1.670053908,Pt,corner
2372,-1.191231251,-0.960581597,Pt,facet
2373,-1.567972183,-1.459780571,Pt,edge
2374,-1.178311348,-1.08417568,Pt,facet
2375,-1.165518761,-1.04009643,Pt,facet
2376,-1.585820198,-1.3684873,Pt,edge
2377,-1.140427589,-1.032280796,Pt,facet
2378,-1.179965973,-1.058788077,Pt,facet
2379,-1.049556255,-0.934641972,Pt,facet
2380,-1.412231922,-1.198937417,Pt,edge
2381,-1.125083447,-0.943400463,Pt,facet
2382,-1.535815716,-1.291469502,Pt,edge
2383,-1.425448895,-1.1915234,Pt,edge
2384,-1.089507103,-0.896576739,Pt,facet
2385,-1.235111713,-0.986780522,Pt,facet
2386,-1.595174789,-1.382408595,Pt,corner
2387,-1.472747803,-1.213293214,Pt,edge
2388,-1.119716644,-0.944838199,Pt,facet
2389,-1.222646713,-1.010232276,Pt,facet
2390,-1.160746098,-1.046619881,Pt,facet
2391,-1.22334671,-1.021636051,Pt,facet
2392,-1.119548321,-0.95448564,Pt,facet
2393,-1.153516769,-0.991013946,Pt,facet
2394,-1.806341648,-1.678353639,Pt,corner
2395,-1.618498325,-1.538182735,Pt,corner
2396,-1.564682484,-1.50679732,Rh,edge
2397,-1.441964626,-1.403014303,Rh,facet
2398,-1.530680656,-1.422961472,Rh,facet
2399,-1.567942619,-1.422554842,Rh,facet
2400,-1.698824406,-1.610102852,Rh,corner
2401,-1.582980156,-1.432461146,Rh,facet
2402,-1.575870037,-1.493531796,Rh,edge
2403,-1.373064041,-1.381321188,Rh,facet
2404,-1.682633877,-1.571401911,Rh,corner
2405,-1.376746178,-1.361676994,Rh,facet
2406,-1.500031948,-1.472651732,Rh,edge
2407,-1.801846504,-1.642816403,Rh,corner
2408,-1.408682346,-1.37695969,Rh,facet
2409,-1.834398746,-1.636960002,Rh,corner
2410,-1.34907341,-1.392496582,Rh,facet
2411,-1.428575993,-1.391292881,Rh,facet
2412,-1.393000126,-1.386228294,Rh,facet
2413,-1.378445625,-1.38095766,Rh,facet
2414,-1.548303127,-1.437487466,Rh,facet
2415,-1.384066105,-1.401787053,Rh,facet
2416,-1.684873104,-1.581542437,Rh,edge
2417,-1.671940327,-1.520367922,Rh,edge
2418,-1.693005562,-1.613618711,Rh,corner
2419,-1.850347042,-1.859191042,Ru,edge
2420,-1.888143539,-1.776093887,Ru,facet
2421,-2.002846241,-1.789798751,Ru,facet
2422,-1.935514927,-1.989739689,Ru,corner
2423,-1.843160152,-1.840867787,Ru,edge
2424,-1.718135834,-1.668522009,Ru,facet
2425,-1.692481995,-1.671454555,Ru,facet
2426,-2.041725636,-2.053190995,Ru,corner
2427,-2.130707264,-1.966058029,Ru,edge
2428,-1.79967165,-1.769648672,Ru,facet
2429,-2.048040867,-1.968967979,Ru,edge
2430,-1.932334423,-1.90970648,Ru,edge
2431,-1.946502686,-1.749802163,Ru,facet
2432,-2.038172722,-2.06822189,Ru,corner
2433,-1.922780037,-1.987997108,Ru,corner
2434,-1.949919701,-1.951636976,Ru,edge
2435,-1.661610603,-1.642539258,Ru,facet
2436,-1.930469513,-1.766785878,Ru,facet
2437,-1.845280647,-1.933194356,Ru,corner
2438,-2.000917912,-1.930201391,Ru,edge
2439,-2.054296017,-1.960899548,Ru,edge
