,Ead_NNP,Ead_reg,ontop_element,struct_no,site_info
323,-1.274318695,-1.384438386,Rh,10,facet
324,-1.308696747,-1.381680195,Rh,10,facet
325,-1.630587101,-1.603587503,Rh,10,edge
326,-1.492300034,-1.44779794,Rh,10,facet
327,-1.529481888,-1.480514521,Rh,10,facet
328,-1.447603703,-1.429201757,Rh,10,facet
329,-1.277008057,-1.289041262,Rh,10,facet
330,-1.531219959,-1.5245301,Rh,10,facet
331,-1.562746525,-1.621967541,Rh,10,corner
332,-1.58716774,-1.591946802,Rh,10,edge
333,-1.420457363,-1.312894216,Rh,10,facet
334,-1.40389204,-1.442290562,Rh,10,facet
335,-1.350117683,-1.310704132,Rh,10,facet
336,-1.685134411,-1.639475765,Rh,10,edge
337,-1.501730919,-1.486011507,Rh,10,facet
338,-1.668162346,-1.670814864,Rh,10,edge
339,-1.654547215,-1.656249607,Rh,10,corner
340,-1.754553318,-1.72318653,Rh,10,edge
341,-1.417860031,-1.433095861,Rh,10,facet
342,-1.800117493,-1.777941745,Rh,10,corner
343,-1.76789093,-1.772023781,Ru,10,facet
344,-1.61596489,-1.667233937,Ru,10,facet
345,-1.678719044,-1.721316931,Ru,10,facet
346,-1.856083393,-1.954485795,Ru,10,edge
347,-2.099594593,-2.050651799,Ru,10,edge
348,-1.871804714,-1.952640276,Ru,10,edge
349,-2.226697922,-1.990059615,Ru,10,facet
350,-1.559389591,-1.661669967,Ru,10,facet
351,-1.920804977,-2.013980709,Ru,10,corner
352,-2.046236038,-1.996114948,Ru,10,edge
353,-1.731012821,-1.771628699,Ru,10,facet
354,-2.036185265,-1.99989569,Ru,10,edge
355,-1.680227757,-1.878937945,Ru,10,facet
356,-1.915065765,-1.950209235,Ru,10,edge
357,-1.69499588,-1.764346164,Ru,10,facet
358,-2.109209061,-2.154302484,Ru,10,corner
359,-2.034840107,-2.008149777,Ru,10,edge
360,-1.884717464,-1.985997977,Ru,10,corner
361,-1.998461723,-1.940574043,Ru,10,facet
362,-1.859319687,-1.874265229,Ru,10,facet
363,-1.742331982,-1.729154544,Ru,10,facet
364,-2.267252922,-2.265879932,Ru,10,corner
365,-1.834214211,-1.938256233,Ru,10,edge
366,-1.931581974,-1.93339445,Ir,11,edge
367,-2.012029648,-2.108171162,Ir,11,corner
368,-2.006848335,-1.993895066,Ir,11,edge
369,-1.800544739,-1.857874289,Ir,11,edge
370,-1.685772896,-1.650155979,Ir,11,facet
371,-1.705410004,-1.750974231,Ir,11,facet
372,-1.774257183,-1.80175381,Ir,11,facet
373,-1.755975723,-1.794511327,Ir,11,facet
374,-2.234863758,-2.14973685,Ir,11,corner
375,-1.865983963,-1.789006385,Ir,11,facet
376,-1.550648212,-1.574245503,Ir,11,facet
377,-1.615077496,-1.668858155,Ir,11,facet
378,-1.700888634,-1.709947911,Ir,11,facet
379,-2.135159969,-2.029204637,Ir,11,edge
380,-2.238063812,-2.087194777,Ir,11,edge
381,-2.101988316,-2.170957584,Ir,11,corner
382,-1.664817333,-1.716265589,Ir,11,facet
383,-1.938488483,-1.920383673,Ir,11,edge
384,-2.215000153,-2.157053758,Ir,11,corner
385,-1.937711239,-1.836443363,Ir,11,facet
386,-1.859026909,-1.911346198,Ir,11,edge
387,-1.84945631,-1.843221623,Ir,11,facet
388,-1.926103592,-1.929616833,Ir,11,edge
389,-1.709974766,-1.736656971,Ir,11,facet
390,-1.657660961,-1.707081809,Ir,11,facet
391,-2.28218317,-2.143810794,Ir,11,edge
392,-1.656716824,-1.657278652,Ir,11,facet
393,-1.821171761,-1.865552966,Ir,11,facet
394,-0.852276325,-0.930918509,Pd,11,facet
395,-1.005743504,-0.939071842,Pd,11,facet
396,-1.024115086,-0.996533052,Pd,11,facet
397,-1.134754658,-1.120926639,Pd,11,facet
398,-1.137159824,-1.163425563,Pd,11,edge
399,-0.876186848,-0.924965709,Pd,11,facet
400,-1.252387524,-1.230662708,Pd,11,edge
401,-0.957314014,-0.972163229,Pd,11,facet
402,-0.819242477,-0.896946667,Pd,11,facet
403,-1.258949757,-1.238612472,Pd,11,corner
404,-1.320735455,-1.2057947,Pd,11,edge
405,-1.290452957,-1.257361483,Pd,11,corner
406,-0.985375881,-0.956080545,Pd,11,facet
407,-1.38444376,-1.416137377,Pd,11,corner
408,-1.312652588,-1.299360368,Pd,11,edge
409,-0.920723438,-0.97049226,Pd,11,facet
410,-0.929525375,-0.968312144,Pd,11,facet
411,-1.133250237,-1.075681913,Pd,11,facet
412,-1.292779446,-1.257163516,Pd,11,edge
413,-1.405749321,-1.339168649,Pd,11,corner
