,lse,Ead_NNP,ontop_element,site_info
0,0.831610695,-1.843065739,Ir,facet
1,1.222323433,-1.895982742,Ir,edge
2,0.665017143,-1.63086319,Ir,facet
3,1.627638832,-2.144318581,Ir,corner
4,1.355736748,-2.034860611,Ir,edge
5,1.168639675,-1.92971611,Ir,edge
6,0.621701256,-1.552405834,Ir,facet
7,0.819087044,-1.78016901,Ir,facet
8,1.430648342,-2.17589426,Ir,edge
9,1.366566673,-1.964545727,Ir,corner
10,0.972112671,-1.800865173,Ir,edge
11,0.877235428,-1.791938782,Ir,facet
12,0.839126602,-1.74203968,Ir,facet
13,1.514346615,-1.956599712,Ir,corner
14,1.24011375,-1.989235401,Ir,edge
15,0.871337906,-1.84804821,Ir,facet
16,0.760425583,-1.680762768,Ir,facet
17,0.70461084,-1.680864811,Ir,facet
18,1.639479176,-2.153528214,Ir,corner
19,0.653035179,-1.69539547,Ir,facet
20,1.126354233,-1.951489925,Ir,edge
21,1.514969364,-2.104555607,Ir,corner
22,1.691181675,-2.145943642,Ir,corner
23,1.256615654,-2.007418156,Ir,edge
24,1.423624531,-2.106668949,Ir,edge
25,1.301146999,-1.984298706,Ir,edge
26,0.944736496,-1.817000389,Ir,facet
27,0.442374287,-1.318565369,Pd,edge
28,0.08077961,-0.904501915,Pd,facet
29,0.063084183,-0.950709343,Pd,facet
30,0.100972233,-1.00910759,Pd,facet
31,0.276293812,-1.231749535,Pd,edge
32,0.26109129,-1.123755932,Pd,edge
33,0.029751835,-0.906509876,Pd,facet
34,0.078232822,-0.946194172,Pd,facet
35,0.277024803,-1.177301884,Pd,edge
36,0.355505047,-1.193910599,Pd,edge
37,0.042448101,-0.847873688,Pd,facet
38,0.042306957,-0.905434132,Pd,facet
39,0.340135632,-1.203672886,Pd,corner
40,0.045980988,-0.944129467,Pd,facet
41,0.292188225,-1.138031483,Pd,edge
42,0.553360996,-1.375358105,Pd,corner
43,0.178690014,-1.087576389,Pd,edge
44,0.029588757,-0.888949394,Pd,facet
45,0.063425121,-0.943227291,Pd,facet
46,0.459049282,-1.38481617,Pd,edge
47,0.03276926,-0.844935417,Pd,facet
48,0.050720272,-0.981042385,Pd,facet
49,0.31595665,-1.199140072,Pd,edge
50,0.115257797,-1.034073353,Pd,facet
51,0.024067936,-0.901256561,Pd,facet
52,0.103572426,-0.996822357,Pd,facet
53,0.548435745,-1.382077217,Pd,corner
54,0.090332264,-1.212615967,Pt,facet
55,0.514546627,-1.676928997,Pt,corner
56,0.224552864,-1.446575165,Pt,edge
57,0.433492893,-1.609507084,Pt,corner
58,0.060123676,-1.244532585,Pt,facet
59,0.284444088,-1.476383686,Pt,corner
60,0.055450195,-1.235270023,Pt,facet
61,0.057984108,-1.175321102,Pt,facet
62,0.362923378,-1.563416958,Pt,corner
63,0.295710796,-1.50476265,Pt,edge
64,0.209826225,-1.431612492,Pt,edge
65,0.481379265,-1.690655231,Pt,corner
66,0.132828468,-1.367058277,Pt,edge
67,0.398793453,-1.535181522,Pt,corner
68,0.05489468,-1.145103455,Pt,facet
69,0.072296375,-1.213319302,Pt,facet
70,0.001693481,-1.157410622,Pt,facet
71,0.000930065,-1.150382519,Pt,facet
72,0.018345112,-1.234031677,Pt,facet
73,0.12106871,-1.320532799,Pt,facet
74,-0.022860771,-1.169800282,Pt,facet
75,0.393529648,-1.530622005,Pt,edge
76,0.572729343,-1.702310562,Pt,corner
77,0.639087624,-1.673936844,Rh,edge
78,0.743944115,-1.640994549,Rh,corner
79,0.290874428,-1.280623913,Rh,facet
80,0.464235252,-1.527178764,Rh,facet
81,0.913432068,-1.755684853,Rh,corner
82,0.456802792,-1.534436226,Rh,facet
83,0.489126152,-1.548982143,Rh,facet
84,0.318365997,-1.323689461,Rh,facet
85,0.318173832,-1.336446762,Rh,facet
86,0.570715851,-1.5096488,Rh,edge
87,1.143751568,-1.931663036,Rh,corner
88,0.286258167,-1.345759869,Rh,facet
89,0.358877605,-1.391366482,Rh,facet
90,0.482726997,-1.424437523,Rh,edge
91,0.511300987,-1.485453606,Rh,edge
92,0.660115189,-1.705426693,Rh,edge
93,0.586359924,-1.469753265,Rh,edge
94,0.337387032,-1.34877634,Rh,facet
95,0.630362457,-1.663694859,Rh,edge
96,0.731709904,-1.644659042,Rh,corner
97,0.422256893,-1.582179546,Rh,facet
98,0.512661404,-1.704806805,Rh,facet
99,0.40324015,-1.459585667,Rh,facet
100,0.456610626,-1.504307747,Rh,facet
101,0.791806168,-1.775658607,Rh,edge
102,0.960117764,-1.764523506,Rh,corner
103,1.534653835,-2.163887024,Ru,edge
104,0.948758774,-1.902433395,Ru,facet
105,1.405903034,-2.003007412,Ru,edge
106,1.007315331,-1.917142391,Ru,facet
107,0.959219627,-1.907734871,Ru,facet
108,0.782531433,-1.676677704,Ru,facet
109,1.270568542,-2.02504158,Ru,edge
110,0.891638451,-1.759988785,Ru,facet
111,1.013341599,-1.946065903,Ru,facet
112,1.364850216,-2.04948616,Ru,edge
113,0.957046204,-1.873045444,Ru,facet
114,1.075770073,-1.992183208,Ru,facet
115,0.837687187,-1.787013531,Ru,facet
116,1.628078632,-2.319913864,Ru,facet
117,0.85646122,-1.806414127,Ru,facet
118,2.277896099,-2.468474865,Ru,corner
119,1.759353809,-2.221375465,Ru,corner
120,0.845978432,-1.809776783,Ru,facet
121,1.895367317,-2.206611156,Ru,corner
122,1.300384537,-1.999560356,Ir,edge
123,0.853340164,-1.826806068,Ir,facet
124,0.779027954,-1.654477596,Ir,facet
125,0.742485062,-1.642256737,Ir,facet
126,0.983617798,-1.840849876,Ir,facet
127,0.687954918,-1.588595867,Ir,facet
128,0.671802536,-1.676608562,Ir,facet
129,1.049683109,-1.852820873,Ir,edge
130,1.513858334,-2.084152699,Ir,corner
131,1.701534286,-2.158499718,Ir,corner
132,1.737958447,-2.173073769,Ir,corner
133,1.138728157,-1.816794872,Ir,edge
134,0.657047287,-1.612170696,Ir,facet
135,1.133970753,-1.931275368,Ir,edge
136,1.154171959,-1.912519455,Ir,edge
137,1.555263535,-2.08999157,Ir,corner
138,0.728626266,-1.693091869,Ir,facet
139,1.363336578,-1.976102352,Ir,corner
140,0.930964485,-1.809051991,Ir,facet
141,0.904546753,-1.877528191,Ir,facet
142,1.166709915,-1.986886501,Ir,edge
143,1.554095284,-2.224332333,Ir,edge
144,0.390115318,-1.277953148,Pd,edge
145,0.107977448,-0.968276978,Pd,facet
146,0.528621731,-1.413598061,Pd,corner
147,0.517482338,-1.489692211,Pd,edge
148,0.163692532,-1.15294075,Pd,facet
149,0.351781425,-1.299418926,Pd,edge
150,0.079038677,-1.007834435,Pd,facet
151,0.330811081,-1.219550133,Pd,edge
152,0.078177509,-0.96789217,Pd,facet
153,0.027283249,-0.873384953,Pd,facet
154,0.279223499,-1.171143532,Pd,edge
155,0.252490101,-1.144967556,Pd,edge
156,0.331095753,-1.148124218,Pd,edge
157,0.091924248,-0.949317932,Pd,facet
158,0.001796303,-0.878818989,Pd,facet
159,0.098864136,-0.994059563,Pd,facet
160,0.286462364,-1.18484211,Pd,edge
161,0.373512802,-1.27686882,Pd,edge
162,0.086515961,-1.04121685,Pd,facet
163,0.397233543,-1.323958397,Pd,edge
164,0.394706783,-1.247287273,Pd,corner
165,0.343182621,-1.274253368,Pd,corner
166,0.534303246,-1.401863575,Pd,corner
167,0.523210583,-1.454255104,Pd,corner
