,lse,Ead_NNP,ontop_element,site_info
0,0.8115396652221687,-1.8219575881958,Ir,edge
1,0.3389902267456062,-1.4692420959472638,Ir,middle_facet
2,1.190866962432862,-1.9806475639343244,Ir,corner
3,0.8665914688110359,-1.8746829032897927,Ir,edge1
4,0.8271980438232429,-1.8306894302368164,Ir,edge2
5,0.5832729492187507,-1.6864047050476074,Ir,facet
6,0.3312778625488288,-1.467400074005126,Ir,middle_facet
7,0.3156805191040046,-1.3952112197875977,Ir,facet
8,1.1964059028625496,-2.001287937164306,Ir,corner
9,0.8548736724853523,-1.8692235946655265,Ir,edge
10,1.1927514228820808,-2.0044913291931152,Ir,corner
11,0.5816393051147468,-1.675921440124509,Ir,facet
12,0.334139839172364,-1.48756742477417,Ir,middle_facet
13,1.187259212493898,-1.987674236297612,Ir,corner
14,0.3487711105346687,-1.542381286621099,Ir,facet
15,0.3594074821472164,-1.4091248512268075,Pd,middle_facet
16,0.6927118873596187,-1.6531319618225109,Pd,edge
17,0.4659777259826656,-1.510097026824952,Pd,facet
18,0.9455071067810056,-1.8162603378295907,Pd,corner
19,0.6918941116333004,-1.654752254486081,Pd,edge1
20,0.3605170822143551,-1.4120507240295392,Pd,middle_facet
21,0.370029029846191,-1.4133706092834526,Pd,facet
22,0.7307792282104488,-1.6750478744506925,Pd,edge2
23,0.4657679176330562,-1.5090885162353525,Pd,facet
24,0.9444232559204098,-1.819648265838623,Pd,corner
25,0.7245989418029781,-1.6662025451660218,Pd,edge
26,0.3581185913085933,-1.3971190452575728,Pd,middle_facet
27,0.9268794631958004,-1.796533107757572,Pd,corner
28,0.9303074455261228,-1.7942619323730478,Pd,corner
29,0.3524799919128414,-1.3902058601379403,Pd,facet
30,0.2968838157653808,-1.3933658599853542,Pt,facet
31,0.2170135917663573,-1.1890945434570304,Pt,middle_facet
32,0.4374792518615722,-1.524114131927493,Pt,edge
33,0.6686785163879394,-1.7212257385253895,Pt,corner
34,0.4328586997985839,-1.4786090850830125,Pt,edge
35,0.2188403549194335,-1.188298702239992,Pt,middle_facet
36,0.6643211784362792,-1.7188835144042989,Pt,corner
37,0.4433042945861816,-1.4838452339172346,Pt,edge2
38,0.6660110893249511,-1.723090171813964,Pt,corner
39,0.2093322219848632,-1.1947712898254403,Pt,middle_facet
40,0.2969796600341796,-1.396845817565918,Pt,facet
41,0.4408242645263671,-1.5263433456420907,Pt,edge1
42,0.1892297210693359,-1.2123713493347168,Pt,facet
43,0.2492430152893066,-1.1714310646057084,Pt,facet
44,0.664534324645996,-1.7107739448547337,Pt,corner
45,0.5284323158264161,-1.5590882301330655,Rh,facet
46,0.7079948844909669,-1.584650039672856,Rh,edge
47,0.3898868026733399,-1.3730726242065483,Rh,middle_facet
48,0.9270991744995118,-1.6274566650390652,Rh,corner
49,0.7055711212158204,-1.5360245704650897,Rh,edge
50,0.3919085922241212,-1.3730134963989258,Rh,middle_facet
51,0.9342441024780276,-1.6252870559692392,Rh,corner
52,0.9356746139526368,-1.6041250228881836,Rh,corner
53,0.4269055786132814,-1.3406772613525373,Rh,facet
54,0.3788146438598634,-1.3786487579345712,Rh,middle_facet
55,0.3566946449279786,-1.3986144065856925,Rh,facet
56,0.9256095352172852,-1.6487469673156756,Rh,corner
57,0.7078222694396974,-1.5335526466369682,Rh,edge2
58,0.7083897056579591,-1.5842552185058612,Rh,edge1
59,0.5276317062377931,-1.5565199851989782,Rh,facet
60,1.1936651992797849,-1.868415355682374,Ru,corner
61,0.5285212326049802,-1.522452354431148,Ru,middle_facet
62,0.9311262893676756,-1.7574419975280788,Ru,edge1
63,0.4956614303588864,-1.491859912872303,Ru,facet
64,1.003371887207031,-1.7717852592468262,Ru,edge2
65,0.7271639633178708,-1.5211648941040083,Ru,facet
66,0.5456568527221677,-1.5237436294555664,Ru,middle_facet
67,0.999439888000488,-1.7848381996154856,Ru,edge
68,1.1798321533203122,-1.8325104713440004,Ru,corner
69,1.2119910049438474,-1.8313970565796,Ru,corner
70,0.6017176437377927,-1.578528404235855,Ru,facet
71,1.2205216217041013,-1.861380577087408,Ru,corner
72,0.7252098846435544,-1.5646791458129652,Ru,facet
73,0.9510943222045896,-1.773650169372548,Ru,edge
74,0.542342834472656,-1.541788578033441,Ru,middle_facet
