,Ead_NNP,Ead_reg,ontop_element,struct_no,site_info
662,-1.368720531,-1.393549768,Pd,13,corner
663,-1.284897804,-1.30705248,Pt,13,edge
664,-1.54261446,-1.509220112,Pt,13,edge
665,-1.360845089,-1.344719493,Pt,13,edge
666,-1.096783161,-1.169432052,Pt,13,facet
667,-1.21079874,-1.20066606,Pt,13,facet
668,-1.594556808,-1.585470191,Pt,13,edge
669,-1.249233723,-1.230262265,Pt,13,facet
670,-1.049070835,-1.098944754,Pt,13,facet
671,-1.68941021,-1.738161636,Pt,13,corner
672,-1.416783333,-1.408765505,Pt,13,edge
673,-1.115736008,-1.207880016,Pt,13,facet
674,-1.598970413,-1.675320714,Pt,13,corner
675,-1.068172455,-1.188820011,Pt,13,facet
676,-1.273953438,-1.23573451,Pt,13,facet
677,-1.341808796,-1.275782346,Pt,13,facet
678,-1.812770367,-1.805535745,Pt,13,corner
679,-1.701357841,-1.715525704,Pt,13,corner
680,-1.559383392,-1.490974985,Pt,13,corner
681,-1.013602734,-1.089545786,Pt,13,facet
682,-1.444002628,-1.353710998,Pt,13,facet
683,-1.477201939,-1.483200118,Pt,13,corner
684,-1.085382938,-1.114270561,Pt,13,facet
685,-1.132827282,-1.101477835,Pt,13,facet
686,-1.653524399,-1.564075521,Pt,13,edge
687,-1.776321411,-1.75939715,Pt,13,corner
688,-1.443738461,-1.37431195,Rh,13,facet
689,-1.642652512,-1.667932732,Rh,13,edge
690,-1.579815865,-1.58914025,Rh,13,edge
691,-1.664783955,-1.624588708,Rh,13,edge
692,-1.680885792,-1.614657752,Rh,13,edge
693,-1.48814106,-1.438087302,Rh,13,facet
694,-1.344795704,-1.365118104,Rh,13,facet
695,-1.448765755,-1.424979215,Rh,13,facet
696,-1.449132919,-1.420040072,Rh,13,facet
697,-1.738965988,-1.745426149,Rh,13,corner
698,-1.669539928,-1.62509349,Rh,13,edge
699,-1.608363628,-1.581920659,Rh,13,edge
700,-1.889061451,-1.782492187,Rh,13,edge
701,-1.433172703,-1.470683543,Rh,13,edge
702,-1.450314522,-1.517240031,Rh,13,edge
703,-1.560096264,-1.584320622,Rh,13,edge
704,-1.352283001,-1.367590752,Rh,13,facet
705,-1.778455734,-1.692238623,Rh,13,edge
706,-1.36882925,-1.344052064,Rh,13,facet
707,-1.632341385,-1.659098236,Rh,13,corner
708,-1.681074619,-1.737955459,Rh,13,corner
709,-1.829131126,-1.733491306,Rh,13,edge
710,-1.625469208,-1.65120171,Rh,13,corner
711,-1.738285542,-1.840638305,Ru,13,facet
712,-2.075130939,-2.119124233,Ru,13,corner
713,-2.267590046,-2.298689227,Ru,13,corner
714,-2.096920013,-1.979337874,Ru,13,facet
715,-1.9377141,-1.906519147,Ru,13,facet
716,-2.00103426,-1.984482148,Ru,13,edge
717,-2.079397678,-2.034779826,Ru,13,edge
718,-2.141087055,-2.194690941,Ru,13,corner
719,-1.847456932,-1.957445787,Ru,13,edge
720,-1.83267355,-1.816071703,Ru,13,facet
721,-1.988733292,-2.021520689,Ru,13,corner
722,-1.87648344,-1.854453633,Ru,13,facet
723,-1.934371471,-1.985791139,Ru,13,corner
724,-2.226166725,-2.138061938,Ru,13,edge
725,-2.12501049,-1.993268872,Ru,13,facet
726,-1.714588642,-1.719007836,Ru,13,facet
727,-1.665222168,-1.665777448,Ru,13,facet
728,-1.854067802,-1.832487415,Ru,13,facet
729,-2.039442539,-1.984353233,Ru,13,edge
730,-1.907673836,-1.907952572,Ru,13,facet
731,-1.898819447,-1.902889928,Ru,13,facet
732,-1.661170006,-1.688251726,Ir,14,facet
733,-1.688390732,-1.754835213,Ir,14,facet
