,Ead_NNP,Ead_reg,ontop_element,ad_place_num,struct_no
984,-1.9757828712463352,-2.106402249780529,Ir,3,16
985,-1.8844542503356847,-1.9513916958490183,Ir,2,16
986,-1.6742539405822718,-1.7269645181928186,Ir,1,16
987,-1.706316471099849,-1.7572901391657012,Ir,1,16
988,-1.8200364112853973,-1.7898771469471322,Ir,1,16
989,-1.7142658233642551,-1.7053276043038614,Ir,1,16
990,-2.057012081146235,-2.0950182878290424,Ir,3,16
991,-1.5512742996215805,-1.5512167033224649,Ir,1,16
992,-1.593655109405515,-1.5881714465622951,Ir,1,16
993,-1.6436147689819318,-1.7090689229779068,Ir,1,16
994,-1.9520468711853,-2.0180346984459288,Ir,3,16
995,-1.8916344642639145,-1.8878070633132804,Ir,2,16
996,-1.9914093017578096,-2.036407488519462,Ir,3,16
997,-1.8012371063232386,-1.8094857965466007,Ir,1,16
998,-1.280486106872556,-1.2863026375496458,Pd,2,16
999,-0.9376850128173756,-0.965748990193078,Pd,1,16
1000,-1.0125455856323198,-0.9805535112866021,Pd,1,16
1001,-1.270999908447262,-1.2764818602532801,Pd,2,16
1002,-0.9244346618652308,-0.9522129268837894,Pd,1,16
1003,-0.9829831123352032,-0.9498970746404346,Pd,1,16
1004,-0.9559912681579572,-0.925084858933702,Pd,1,16
1005,-0.9064970016479474,-0.9358988034234033,Pd,1,16
1006,-1.0440435409545872,-1.0253745709404818,Pd,1,16
1007,-0.9826245307922336,-1.0290718507217143,Pd,1,16
1008,-0.9959845542907706,-1.0376996944620103,Pd,1,16
1009,-0.9821052551269478,-1.0063025664751761,Pd,1,16
1010,-0.978085041046147,-0.9913467960468382,Pd,1,16
1011,-1.1907200813293448,-1.1705655130275048,Pd,2,16
1012,-1.4355568885803187,-1.4039229436196552,Pd,3,16
1013,-1.424733638763425,-1.4419268530053968,Pd,3,16
1014,-1.0159759521484375,-1.075026309099356,Pd,1,16
1015,-0.7999248504638619,-0.8603426031149244,Pd,1,16
1016,-0.8749518394470206,-0.8928347289084191,Pd,1,16
1017,-1.2668685913085938,-1.220643794899927,Pd,2,16
1018,-0.868025302886962,-0.9164325370452663,Pd,1,16
1019,-1.3015842437744096,-1.2653181630268702,Pd,3,16
1020,-1.286720752716063,-1.3024803045574473,Pt,1,16
1021,-1.17860651016235,-1.1974366856061858,Pt,1,16
1022,-1.4790096282959002,-1.5241456988956095,Pt,2,16
1023,-1.7364702224731392,-1.758492531143712,Pt,2,16
1024,-1.135437965393061,-1.1248265756589462,Pt,1,16
1025,-1.3738427162170357,-1.371054267381576,Pt,2,16
1026,-1.7013311386108398,-1.7355227162571145,Pt,3,16
1027,-1.5637974739074665,-1.5242849530420028,Pt,2,16
1028,-1.15387153625488,-1.1761169182152882,Pt,1,16
1029,-1.5087261199951143,-1.4618749769610022,Pt,2,16
1030,-1.3287630081176722,-1.358593223094466,Pt,2,16
1031,-1.487892150878901,-1.4713447027860254,Pt,2,16
1032,-1.0425133705139116,-1.1589230350233841,Pt,1,16
1033,-1.2397398948669434,-1.2075373164284813,Pt,1,16
1034,-1.3664879798889134,-1.422957311698609,Pt,2,16
1035,-1.099908828735351,-1.177075626148813,Pt,1,16
1036,-1.6498842239379838,-1.6060938298202547,Pt,3,16
1037,-1.3501229286193812,-1.3616963606856967,Pt,2,16
1038,-1.2384805679321298,-1.2377385813596296,Pt,1,16
1039,-1.4512934684753436,-1.4382883983004182,Pt,2,16
1040,-1.0410695075988734,-1.0314397163507218,Pt,1,16
1041,-1.6364703178405788,-1.5953156089500917,Pt,3,16
1042,-1.0244498252868643,-1.1004143027090603,Pt,1,16
1043,-1.4379572868347132,-1.4102571169863425,Pt,2,16
1044,-1.427296161651613,-1.402079158925684,Pt,2,16
1045,-1.7061214447021469,-1.6917070575673736,Pt,3,16
1046,-1.5802130699157688,-1.5878165369998187,Rh,2,16
1047,-1.3979606628417924,-1.4014767247083102,Rh,1,16
1048,-1.8315753936767527,-1.7753986178339118,Rh,3,16
1049,-1.6188778877258292,-1.5990759734750968,Rh,2,16
1050,-1.7635755538940394,-1.7859465092092537,Rh,3,16
1051,-1.512903690338134,-1.566797653884974,Rh,2,16
1052,-1.5664229393005389,-1.646080353457539,Rh,3,16
1053,-1.46502637863159,-1.50622269288008,Rh,1,16
1054,-1.6855845451354998,-1.7324626145925086,Rh,3,16
1055,-1.6265525817871032,-1.593278115123758,Rh,2,16
1056,-1.7978949546813885,-1.786394377336593,Rh,3,16
1057,-1.5100841522216752,-1.4337426269892388,Rh,1,16
1058,-1.5077309608459428,-1.5378182001308969,Rh,2,16
1059,-1.4358849525451616,-1.3607619698356064,Rh,1,16
1060,-1.479378700256346,-1.4855187813559219,Rh,1,16
1061,-1.569309711456297,-1.5179831006001447,Rh,1,16
1062,-1.7701597213745135,-1.7882453480730247,Rh,3,16
1063,-1.7943296432495082,-1.763457709226444,Rh,3,16
1064,-1.707502365112305,-1.6822735651104912,Rh,2,16
1065,-1.322436809539794,-1.3455237197490162,Rh,1,16
1066,-1.2438240051269511,-1.3515258649933215,Rh,1,16
1067,-1.6396484375000009,-1.5866727496052893,Rh,2,16
1068,-1.5805544853210414,-1.6603922355275207,Rh,3,16
1069,-1.6771569252014151,-1.7027185393464446,Rh,3,16
1070,-1.4987463951110804,-1.5621459029113496,Rh,2,16
1071,-1.33758735656738,-1.4322222086040832,Rh,1,16
1072,-1.4421300888061506,-1.5061097500580487,Rh,2,16
1073,-1.594502449035642,-1.6288010893000247,Rh,3,16
1074,-2.0511918067932067,-1.952467523837866,Ru,1,16
1075,-1.954640865325925,-1.8913788656164114,Ru,1,16
1076,-1.8453655242919889,-1.7997210108794122,Ru,1,16
1077,-1.682385921478267,-1.6691796342271672,Ru,1,16
1078,-2.0977768898010245,-2.0181838908529928,Ru,2,16
1079,-1.9606227874755813,-1.930635959699329,Ru,1,16
1080,-2.092819213867184,-1.957834127550996,Ru,1,16
1081,-2.572925567626956,-2.553333860156955,Ru,2,16
1082,-2.397739410400386,-2.2768329010436954,Ru,2,16
1083,-1.9947457313537555,-1.9573053892035919,Ru,1,16
1084,-1.9562077522277823,-1.9569680983546929,Ru,2,16
1085,-2.103363037109374,-1.9710842718545507,Ru,1,16
1086,-1.7125544548034697,-1.8668363022823935,Ru,1,16
1087,-1.90718841552734,-1.8770272048423913,Ru,1,16
