,atomic_number,x,y,z,energy
0,6.0,-1.313886046409607,-1.3191499710083008,1.2983390092849731,-9.865133285522461
1,7.0,-1.510198950767517,-0.9855970144271851,-0.11435899883508682,-8.660435676574707
2,6.0,-2.896738052368164,-0.5867909789085388,-0.3924010097980499,-9.491527557373047
3,6.0,-3.0107409954071045,0.935135006904602,-0.06437099725008011,-9.796404838562012
4,6.0,-1.540518045425415,1.4280509948730469,-0.044204000383615494,-9.779465675354004
5,6.0,-0.7500470280647278,0.20174899697303772,-0.5695390105247498,-9.324389457702637
6,6.0,0.733135998249054,0.12947699427604675,-0.28911298513412476,-8.973457336425781
7,6.0,1.4607199430465698,1.197417974472046,0.23935000598430634,-8.869068145751953
8,7.0,2.7803759574890137,1.1812299489974976,0.45739299058914185,-8.694336891174316
9,6.0,3.4385430812835693,0.0641079992055893,0.14820599555969238,-8.752283096313477
10,6.0,2.820965051651001,-1.0642759799957275,-0.3886530101299286,-9.124054908752441
11,6.0,1.4524140357971191,-1.026183009147644,-0.612978994846344,-9.33236026763916
12,1.0,-1.921347975730896,-2.197256088256836,1.5363529920578003,-3.3433942794799805
13,1.0,-1.5904059410095215,-0.5172790288925171,2.0044679641723633,-3.3510982990264893
14,1.0,-0.2683359980583191,-1.5764859914779663,1.4799180030822754,-3.325643301010132
15,1.0,-3.594533920288086,-1.2061519622802734,0.1756490021944046,-3.346613883972168
16,1.0,-3.0988800525665283,-0.75347900390625,-1.4571750164031982,-3.338078498840332
17,1.0,-3.495198965072632,1.1027499437332153,0.900846004486084,-3.37213397026062
18,1.0,-3.609924077987671,1.4559379816055298,-0.8158230185508728,-3.373041868209839
19,1.0,-1.2295260429382324,1.6821030378341675,0.973363995552063,-3.3486430644989014
20,1.0,-1.3806439638137817,2.3155040740966797,-0.661861002445221,-3.3704512119293213
21,1.0,-0.8628699779510498,0.2016569972038269,-1.6652940511703491,-3.3024179935455322
22,1.0,0.9570599794387817,2.1250030994415283,0.4974850118160248,-3.424443483352661
23,1.0,4.509998798370361,0.0693259984254837,0.3355500102043152,-3.483978271484375
24,1.0,3.4038000106811523,-1.9477839469909668,-0.6257290244102478,-3.4966044425964355
25,1.0,0.9264780282974243,-1.8805030584335327,-1.0267959833145142,-3.440685749053955
